dv,sd,n,dv_type,f,d,exp,condition,jod_type
4.32,2.97,60,jof,2,8,1,none,
4.7,3.41,60,jof,2,16,1,none,
4.39,2.75,60,jof,2,24,1,none,
5.71,3.3,60,jof,4,8,1,none,
6.19,4.17,60,jof,4,16,1,none,
5.88,3.18,60,jof,4,24,1,none,
7.77,4.02,60,jof,8,8,1,none,
7.87,4.13,60,jof,8,16,1,none,
8.04,4.18,60,jof,8,24,1,none,
6.95,6.41,60,jod,2,8,1,none,
8.5,8.72,60,jod,2,16,1,none,
8.37,7.75,60,jod,2,24,1,none,
9.67,8.15,60,jod,4,8,1,none,
10.37,9.53,60,jod,4,16,1,none,
10.15,9.07,60,jod,4,24,1,none,
12.64,10.24,60,jod,8,8,1,none,
12.41,9.92,60,jod,8,16,1,none,
13.36,11.61,60,jod,8,24,1,none,
5.68,2.39,19,jof,4,8,2,event_instr,
4.78,1.34,20,jof,4,8,2,run_instr,
5.88,3.07,18,jof,4,8,2,event,
5.04,1.87,20,jof,4,8,2,run,
5.32,2.24,77,jof,4,8,2,mean,
4.38,2.35,19,jof,2,16,2,event_instr,
4.18,1.86,20,jof,2,16,2,run_instr,
3.9,1.38,18,jof,2,16,2,event,
3.94,1.6,20,jof,2,16,2,run,
4.1,1.81,77,jof,2,16,2,mean,
5.3,2.38,19,jof,4,16,2,event_instr,
5.13,2.23,20,jof,4,16,2,run_instr,
5.67,3.21,18,jof,4,16,2,event,
5.03,1.74,20,jof,4,16,2,run,
5.27,2.39,77,jof,4,16,2,mean,
8.42,3.77,19,jof,8,16,2,event_instr,
6.24,2.3,20,jof,8,16,2,run_instr,
8.6,5.41,18,jof,8,16,2,event,
6.76,2.9,20,jof,8,16,2,run,
7.46,3.8,77,jof,8,16,2,mean,
5.88,3.48,19,jof,4,24,2,event_instr,
5.35,2.11,20,jof,4,24,2,run_instr,
6.36,4.54,18,jof,4,24,2,event,
5.51,2.01,20,jof,4,24,2,run,
5.76,3.12,77,jof,4,24,2,mean,
10.92,6.28,19,jod,4,8,2,event_instr,
10.59,5.19,20,jod,4,8,2,run_instr,
10.81,5.88,18,jod,4,8,2,event,
11.78,9.91,20,jod,4,8,2,run,
11.03,6.97,77,jod,4,8,2,mean,
8.25,4.14,19,jod,2,16,2,event_instr,
11.14,5.7,20,jod,2,16,2,run_instr,
8.36,4.44,18,jod,2,16,2,event,
11.2,11.37,20,jod,2,16,2,run,
9.79,7.14,77,jod,2,16,2,mean,
10.68,5.9,19,jod,4,16,2,event_instr,
12.64,7.14,20,jod,4,16,2,run_instr,
10.53,4.78,18,jod,4,16,2,event,
12.41,9.6,20,jod,4,16,2,run,
11.6,7.08,77,jod,4,16,2,mean,
14.78,7.9,19,jod,8,16,2,event_instr,
13.09,5.64,20,jod,8,16,2,run_instr,
13.65,6.19,18,jod,8,16,2,event,
15.25,13.35,20,jod,8,16,2,run,
14.2,8.76,77,jod,8,16,2,mean,
10.57,5.63,19,jod,4,24,2,event_instr,
13.43,6.26,20,jod,4,24,2,run_instr,
12.78,9.22,18,jod,4,24,2,event,
14.3,12.17,20,jod,4,24,2,run,
12.8,8.68,77,jod,4,24,2,mean,
3.29,0.9,15,jof,2,8,3,pic-context_before,
3.38,0.94,15,jof,2,8,3,pic_before,
3.49,0.72,15,jof,2,8,3,words_before,
3.39,0.84,45,jof,2,8,3,mean_before,
2.98,0.77,15,jof,2,8,3,pic-context_after,
3,0.63,15,jof,2,8,3,pic_after,
3.02,0.86,15,jof,2,8,3,words_after,
3,0.74,45,jof,2,8,3,mean_after,
3.19,0.81,90,jof,2,8,3,grand_mean,
4.04,0.86,15,jof,4,8,3,pic-context_before,
4.04,0.83,15,jof,4,8,3,pic_before,
4.07,0.61,15,jof,4,8,3,words_before,
4.05,0.76,45,jof,4,8,3,mean_before,
4.36,0.96,15,jof,4,8,3,pic-context_after,
4.29,0.77,15,jof,4,8,3,pic_after,
4.22,0.89,15,jof,4,8,3,words_after,
4.29,0.86,45,jof,4,8,3,mean_after,
4.17,0.82,90,jof,4,8,3,grand_mean,
5.82,0.93,15,jof,8,8,3,pic-context_before,
5.87,1.13,15,jof,8,8,3,pic_before,
5.42,1.23,15,jof,8,8,3,words_before,
5.7,1.1,45,jof,8,8,3,mean_before,
6.38,0.87,15,jof,8,8,3,pic-context_after,
5.91,0.91,15,jof,8,8,3,pic_after,
5.33,0.9,15,jof,8,8,3,words_after,
5.87,0.98,45,jof,8,8,3,mean_after,
5.79,1.04,90,jof,8,8,3,grand_mean,
3.62,1.23,15,jof,2,16,3,pic-context_before,
3.11,0.9,15,jof,2,16,3,pic_before,
3.22,0.98,15,jof,2,16,3,words_before,
3.32,1.05,45,jof,2,16,3,mean_before,
3.33,1.21,15,jof,2,16,3,pic-context_after,
3.24,0.76,15,jof,2,16,3,pic_after,
3.51,0.85,15,jof,2,16,3,words_after,
3.36,0.94,45,jof,2,16,3,mean_after,
3.34,0.99,90,jof,2,16,3,grand_mean,
4.62,1.05,15,jof,4,16,3,pic-context_before,
4.38,0.96,15,jof,4,16,3,pic_before,
4.58,1.57,15,jof,4,16,3,words_before,
4.53,1.2,45,jof,4,16,3,mean_before,
4.67,0.91,15,jof,4,16,3,pic-context_after,
4.24,1.01,15,jof,4,16,3,pic_after,
4.31,1.12,15,jof,4,16,3,words_after,
4.41,1.01,45,jof,4,16,3,mean_after,
4.47,1.1,90,jof,4,16,3,grand_mean,
5.76,0.9,15,jof,8,16,3,pic-context_before,
5.8,0.99,15,jof,8,16,3,pic_before,
5.89,1.28,15,jof,8,16,3,words_before,
5.81,1.05,45,jof,8,16,3,mean_before,
6.71,1.04,15,jof,8,16,3,pic-context_after,
6.2,1.23,15,jof,8,16,3,pic_after,
5.71,1.33,15,jof,8,16,3,words_after,
6.21,1.25,45,jof,8,16,3,mean_after,
6.01,1.16,90,jof,8,16,3,grand_mean,
3.73,1.07,15,jof,2,24,3,pic-context_before,
3.29,0.93,15,jof,2,24,3,pic_before,
4.13,1.36,15,jof,2,24,3,words_before,
3.72,1.16,45,jof,2,24,3,mean_before,
3.56,1.12,15,jof,2,24,3,pic-context_after,
3.16,0.55,15,jof,2,24,3,pic_after,
3.27,1.24,15,jof,2,24,3,words_after,
3.33,1.01,45,jof,2,24,3,mean_after,
3.52,1.1,90,jof,2,24,3,grand_mean,
4.8,0.94,15,jof,4,24,3,pic-context_before,
4.44,0.92,15,jof,4,24,3,pic_before,
4.67,1.23,15,jof,4,24,3,words_before,
4.64,1.03,45,jof,4,24,3,mean_before,
4.89,1.35,15,jof,4,24,3,pic-context_after,
4.62,1.07,15,jof,4,24,3,pic_after,
4.47,1.15,15,jof,4,24,3,words_after,
4.66,1.18,45,jof,4,24,3,mean_after,
4.65,1.1,90,jof,4,24,3,grand_mean,
6.53,1.04,15,jof,8,24,3,pic-context_before,
5.95,1.02,15,jof,8,24,3,pic_before,
5.33,1.05,15,jof,8,24,3,words_before,
5.94,1.13,45,jof,8,24,3,mean_before,
6.67,1.11,15,jof,8,24,3,pic-context_after,
5.93,1.07,15,jof,8,24,3,pic_after,
5.96,1.01,15,jof,8,24,3,words_after,
6.19,1.09,45,jof,8,24,3,mean_after,
6.06,1.11,90,jof,8,24,3,grand_mean,
