h;d;av;author;year;manuscript;experiment;d_type;jod_type;stim_type;att_type;vpnr;value;stim_id;Beding;unique_id;id
2;8;jof;Winkler;2009;1;2;total;total;word;low;1;2,75;NA;NA;Winkler 2009 1 2 1;656
2;8;jof;Winkler;2009;1;2;total;total;word;low;2;3,25;NA;NA;Winkler 2009 1 2 2;667
2;8;jof;Winkler;2009;1;2;total;total;word;low;3;1,50;NA;NA;Winkler 2009 1 2 3;678
2;8;jof;Winkler;2009;1;2;total;total;word;low;4;3,75;NA;NA;Winkler 2009 1 2 4;689
2;8;jof;Winkler;2009;1;2;total;total;word;low;5;4,00;NA;NA;Winkler 2009 1 2 5;700
2;8;jof;Winkler;2009;1;2;total;total;word;low;6;3,00;NA;NA;Winkler 2009 1 2 6;711
2;8;jof;Winkler;2009;1;2;total;total;word;low;7;2,25;NA;NA;Winkler 2009 1 2 7;722
2;8;jof;Winkler;2009;1;2;total;total;word;low;8;2,50;NA;NA;Winkler 2009 1 2 8;733
2;8;jof;Winkler;2009;1;2;total;total;word;low;9;3,25;NA;NA;Winkler 2009 1 2 9;744
2;8;jof;Winkler;2009;1;2;total;total;word;low;10;4,25;NA;NA;Winkler 2009 1 2 10;657
2;8;jof;Winkler;2009;1;2;total;total;word;low;11;2,50;NA;NA;Winkler 2009 1 2 11;658
2;8;jof;Winkler;2009;1;2;total;total;word;low;12;2,50;NA;NA;Winkler 2009 1 2 12;659
2;8;jof;Winkler;2009;1;2;total;total;word;low;13;3,00;NA;NA;Winkler 2009 1 2 13;660
2;8;jof;Winkler;2009;1;2;total;total;word;low;14;2,00;NA;NA;Winkler 2009 1 2 14;661
2;8;jof;Winkler;2009;1;2;total;total;word;low;15;1,50;NA;NA;Winkler 2009 1 2 15;662
2;8;jof;Winkler;2009;1;2;total;total;word;low;16;3,50;NA;NA;Winkler 2009 1 2 16;663
2;8;jof;Winkler;2009;1;2;total;total;word;low;17;3,75;NA;NA;Winkler 2009 1 2 17;664
2;8;jof;Winkler;2009;1;2;total;total;word;low;18;3,75;NA;NA;Winkler 2009 1 2 18;665
2;8;jof;Winkler;2009;1;2;total;total;word;low;19;3,25;NA;NA;Winkler 2009 1 2 19;666
2;8;jof;Winkler;2009;1;2;total;total;word;low;20;4,00;NA;NA;Winkler 2009 1 2 20;668
2;8;jof;Winkler;2009;1;2;total;total;word;low;21;2,75;NA;NA;Winkler 2009 1 2 21;669
2;8;jof;Winkler;2009;1;2;total;total;word;low;22;3,25;NA;NA;Winkler 2009 1 2 22;670
2;8;jof;Winkler;2009;1;2;total;total;word;low;23;2,25;NA;NA;Winkler 2009 1 2 23;671
2;8;jof;Winkler;2009;1;2;total;total;word;low;24;3,00;NA;NA;Winkler 2009 1 2 24;672
2;8;jof;Winkler;2009;1;2;total;total;word;low;25;2,25;NA;NA;Winkler 2009 1 2 25;673
2;8;jof;Winkler;2009;1;2;total;total;word;low;26;2,50;NA;NA;Winkler 2009 1 2 26;674
2;8;jof;Winkler;2009;1;2;total;total;word;low;27;1,50;NA;NA;Winkler 2009 1 2 27;675
2;8;jof;Winkler;2009;1;2;total;total;word;low;28;1,75;NA;NA;Winkler 2009 1 2 28;676
2;8;jof;Winkler;2009;1;2;total;total;word;low;29;3,50;NA;NA;Winkler 2009 1 2 29;677
2;8;jof;Winkler;2009;1;2;total;total;word;low;30;3,00;NA;NA;Winkler 2009 1 2 30;679
2;8;jof;Winkler;2009;1;2;total;total;word;low;31;3,50;NA;NA;Winkler 2009 1 2 31;680
2;8;jof;Winkler;2009;1;2;total;total;word;low;32;4,25;NA;NA;Winkler 2009 1 2 32;681
2;8;jof;Winkler;2009;1;2;total;total;word;low;33;1,75;NA;NA;Winkler 2009 1 2 33;682
2;8;jof;Winkler;2009;1;2;total;total;word;low;34;4,75;NA;NA;Winkler 2009 1 2 34;683
2;8;jof;Winkler;2009;1;2;total;total;word;low;35;4,00;NA;NA;Winkler 2009 1 2 35;684
2;8;jof;Winkler;2009;1;2;total;total;word;low;36;2,75;NA;NA;Winkler 2009 1 2 36;685
2;8;jof;Winkler;2009;1;2;total;total;word;low;37;2,25;NA;NA;Winkler 2009 1 2 37;686
2;8;jof;Winkler;2009;1;2;total;total;word;low;38;3,00;NA;NA;Winkler 2009 1 2 38;687
2;8;jof;Winkler;2009;1;2;total;total;word;low;39;3,25;NA;NA;Winkler 2009 1 2 39;688
2;8;jof;Winkler;2009;1;2;total;total;word;low;40;3,50;NA;NA;Winkler 2009 1 2 40;690
2;8;jof;Winkler;2009;1;2;total;total;word;low;41;3,25;NA;NA;Winkler 2009 1 2 41;691
2;8;jof;Winkler;2009;1;2;total;total;word;low;42;1,50;NA;NA;Winkler 2009 1 2 42;692
2;8;jof;Winkler;2009;1;2;total;total;word;high;43;2,00;NA;NA;Winkler 2009 1 2 43;693
2;8;jof;Winkler;2009;1;2;total;total;word;high;44;2,00;NA;NA;Winkler 2009 1 2 44;694
2;8;jof;Winkler;2009;1;2;total;total;word;high;45;5,00;NA;NA;Winkler 2009 1 2 45;695
2;8;jof;Winkler;2009;1;2;total;total;word;high;46;2,00;NA;NA;Winkler 2009 1 2 46;696
2;8;jof;Winkler;2009;1;2;total;total;word;high;47;2,00;NA;NA;Winkler 2009 1 2 47;697
2;8;jof;Winkler;2009;1;2;total;total;word;high;48;3,00;NA;NA;Winkler 2009 1 2 48;698
2;8;jof;Winkler;2009;1;2;total;total;word;high;49;3,00;NA;NA;Winkler 2009 1 2 49;699
2;8;jof;Winkler;2009;1;2;total;total;word;high;50;2,00;NA;NA;Winkler 2009 1 2 50;701
2;8;jof;Winkler;2009;1;2;total;total;word;high;51;2,00;NA;NA;Winkler 2009 1 2 51;702
2;8;jof;Winkler;2009;1;2;total;total;word;high;52;3,00;NA;NA;Winkler 2009 1 2 52;703
2;8;jof;Winkler;2009;1;2;total;total;word;high;53;3,00;NA;NA;Winkler 2009 1 2 53;704
2;8;jof;Winkler;2009;1;2;total;total;word;high;54;2,00;NA;NA;Winkler 2009 1 2 54;705
2;8;jof;Winkler;2009;1;2;total;total;word;high;55;2,00;NA;NA;Winkler 2009 1 2 55;706
2;8;jof;Winkler;2009;1;2;total;total;word;high;56;7,00;NA;NA;Winkler 2009 1 2 56;707
2;8;jof;Winkler;2009;1;2;total;total;word;high;57;2,00;NA;NA;Winkler 2009 1 2 57;708
2;8;jof;Winkler;2009;1;2;total;total;word;high;58;5,00;NA;NA;Winkler 2009 1 2 58;709
2;8;jof;Winkler;2009;1;2;total;total;word;high;59;4,00;NA;NA;Winkler 2009 1 2 59;710
2;8;jof;Winkler;2009;1;2;total;total;word;high;60;3,00;NA;NA;Winkler 2009 1 2 60;712
2;8;jof;Winkler;2009;1;2;total;total;word;high;61;2,00;NA;NA;Winkler 2009 1 2 61;713
2;8;jof;Winkler;2009;1;2;total;total;word;high;62;5,00;NA;NA;Winkler 2009 1 2 62;714
2;8;jof;Winkler;2009;1;2;total;total;word;high;63;3,00;NA;NA;Winkler 2009 1 2 63;715
2;8;jof;Winkler;2009;1;2;total;total;word;high;64;2,00;NA;NA;Winkler 2009 1 2 64;716
2;8;jof;Winkler;2009;1;2;total;total;word;high;65;5,00;NA;NA;Winkler 2009 1 2 65;717
2;8;jof;Winkler;2009;1;2;total;total;word;high;66;2,00;NA;NA;Winkler 2009 1 2 66;718
2;8;jof;Winkler;2009;1;2;total;total;word;high;67;3,00;NA;NA;Winkler 2009 1 2 67;719
2;8;jof;Winkler;2009;1;2;total;total;word;high;68;3,00;NA;NA;Winkler 2009 1 2 68;720
2;8;jof;Winkler;2009;1;2;total;total;word;high;69;3,00;NA;NA;Winkler 2009 1 2 69;721
2;8;jof;Winkler;2009;1;2;total;total;word;high;70;4,00;NA;NA;Winkler 2009 1 2 70;723
2;8;jof;Winkler;2009;1;2;total;total;word;high;71;2,00;NA;NA;Winkler 2009 1 2 71;724
2;8;jof;Winkler;2009;1;2;total;total;word;high;72;2,00;NA;NA;Winkler 2009 1 2 72;725
2;8;jof;Winkler;2009;1;2;total;total;word;high;73;4,00;NA;NA;Winkler 2009 1 2 73;726
2;8;jof;Winkler;2009;1;2;total;total;word;high;74;2,00;NA;NA;Winkler 2009 1 2 74;727
2;8;jof;Winkler;2009;1;2;total;total;word;high;75;4,00;NA;NA;Winkler 2009 1 2 75;728
2;8;jof;Winkler;2009;1;2;total;total;word;high;76;6,00;NA;NA;Winkler 2009 1 2 76;729
2;8;jof;Winkler;2009;1;2;total;total;word;high;77;2,00;NA;NA;Winkler 2009 1 2 77;730
2;8;jof;Winkler;2009;1;2;total;total;word;high;78;2,00;NA;NA;Winkler 2009 1 2 78;731
2;8;jof;Winkler;2009;1;2;total;total;word;high;79;2,00;NA;NA;Winkler 2009 1 2 79;732
2;8;jof;Winkler;2009;1;2;total;total;word;high;80;2,00;NA;NA;Winkler 2009 1 2 80;734
2;8;jof;Winkler;2009;1;2;total;total;word;high;81;2,00;NA;NA;Winkler 2009 1 2 81;735
2;8;jof;Winkler;2009;1;2;total;total;word;high;82;2,00;NA;NA;Winkler 2009 1 2 82;736
2;8;jof;Winkler;2009;1;2;total;total;word;high;83;2,00;NA;NA;Winkler 2009 1 2 83;737
2;8;jof;Winkler;2009;1;2;total;total;word;high;84;7,00;NA;NA;Winkler 2009 1 2 84;738
2;8;jof;Winkler;2009;1;2;total;total;word;high;85;4,00;NA;NA;Winkler 2009 1 2 85;739
2;8;jof;Winkler;2009;1;2;total;total;word;high;86;6,00;NA;NA;Winkler 2009 1 2 86;740
2;8;jof;Winkler;2009;1;2;total;total;word;high;87;3,00;NA;NA;Winkler 2009 1 2 87;741
2;8;jof;Winkler;2009;1;2;total;total;word;high;88;3,00;NA;NA;Winkler 2009 1 2 88;742
2;8;jof;Winkler;2009;1;2;total;total;word;high;89;5,00;NA;NA;Winkler 2009 1 2 89;743
2;8;jof;Winkler;2009;1;2;total;total;word;high;90;4,00;NA;NA;Winkler 2009 1 2 90;745
2;16;jof;Winkler;2009;1;2;total;total;word;low;1;2,75;NA;NA;Winkler 2009 1 2 1;656
2;16;jof;Winkler;2009;1;2;total;total;word;low;2;3,50;NA;NA;Winkler 2009 1 2 2;667
2;16;jof;Winkler;2009;1;2;total;total;word;low;3;1,25;NA;NA;Winkler 2009 1 2 3;678
2;16;jof;Winkler;2009;1;2;total;total;word;low;4;3,00;NA;NA;Winkler 2009 1 2 4;689
